XYDATA
! 11BM APS Si SRM 640d
! File no. =              6098 
! No. steps =             34500 
! Scan time =             AUG 15, 2014 21:05
! Sample name =     	  NIST SRM 640d (Si)
! Composition =           Silicon (Si)
! Sample Comment =        0.8 mm dia Kapton
! Temp (K) =              295.6 
! 2theta step (deg) =     0.001 
! Time per step (sec) =   0.1 
! 100/Ring Current[0] =   1.004  
! Monitor I0 [0] =        86940.6  
! Monitor I1 [0] =        71229.8  
! Gonio._radius [mm] =    1000.0 
! Calibration file =      11bmb_6097_2thcorr.calib 
! 2Theta correction subtracted 
! Normalization factor  = 7.8467 
! Calibrated wavelength = 0.413848 
! Fullprof format INSTRM=10 (x, y, sigma)
INTER 1.0 1.0  2 0.00100
! ---------------------------------------
! degrees       intensity        sigma
0.96094       255.8332        23.2741
0.96194       280.8893        24.3903
0.96294       263.8849        23.6418
0.96394       278.5040        24.2087
0.96494       286.0808        24.6417
0.96594       262.0312        23.5449
0.96694       265.0464        23.6731
0.96794       293.3701        24.9912
0.96894       316.4525        25.8762
0.96994       280.1492        24.2795
0.97094       278.8667        24.3740
0.97194       289.4238        24.7647
0.97294       279.1056        24.2026
0.97394       290.8788        24.7643
0.97494       293.6217        24.9313
0.97594       291.5227        24.7959
0.97694       244.1826        22.7392
0.97794       259.8129        23.4831
0.97894       229.8488        21.9744
0.97994       253.1097        23.1149
0.98094       236.3664        22.3740
0.98194       236.9776        22.4179
0.98294       271.6080        24.0342
0.98394       255.0264        23.2573
0.98494       253.1938        23.1568
0.98594       258.9311        23.3606
0.98694       251.7849        23.1115
0.98794       248.4183        22.8703
0.98894       230.7360        22.0665
0.98994       263.7978        23.6820
0.99094       269.4096        23.8467
0.99194       274.2006        24.1366
0.99294       270.7087        23.9064
0.99394       306.6848        25.5520
0.99494       281.5131        24.4102
0.99594       286.3227        24.6011
0.99694       311.5261        25.7001
0.99794       262.1790        23.6499
0.99894       258.7141        23.4158
0.99994       242.8293        22.5998
1.00094       302.8112        25.3225
1.00194       265.2690        23.7090
1.00294       224.6361        21.6943
1.00394       244.4612        22.8165
1.00493       271.5272        24.0198
1.00593       251.3814        23.1247
1.00693       258.3849        23.3806
1.00793       277.5457        24.1960
1.00893       276.5689        24.0937
1.00993       272.3785        24.0057
1.01093       269.9970        23.9277
1.01193       254.9236        23.2326
1.01293       254.6855        23.1576
1.01393       252.7995        23.1603
1.01493       260.9271        23.4065
1.01593       271.9457        24.0376
1.01693       251.9178        23.0845
1.01793       239.8922        22.3821
1.01893       248.0917        22.9493
1.01993       251.6700        23.0901
1.02093       250.8222        23.0876
1.02193       236.8719        22.4170
1.02293       194.3257        20.1959
1.02393       258.2985        23.3857
1.02493       278.4812        24.3389
1.02593       237.7945        22.3841
1.02693       226.5450        21.9216
1.02793       207.1948        20.9640
1.02893       250.7168        22.9577
1.02993       265.5782        23.6277
1.03093       303.0698        25.3915
1.03193       269.3837        23.9770
1.03293       263.1145        23.5707
1.03393       238.2851        22.4289
1.03493       255.2715        23.1802
1.03593       214.9803        21.3550
1.03693       216.2650        21.3839
1.03793       239.7294        22.5493
1.03893       245.0143        22.6988
1.03993       233.6602        22.1692
1.04093       245.3086        22.8339
1.04193       237.9647        22.4646
1.04293       205.3686        20.9295
1.04393       241.0265        22.6394
1.04493       257.3917        23.3262
1.04593       237.7413        22.3864
1.04693       235.5834        22.3479
1.04793       203.9502        20.7771
1.04893       239.0603        22.4585
1.04993       267.8537        23.7208
1.05093       254.3990        23.2487
1.05193       271.5659        23.9853
1.05293       242.2210        22.5908
1.05393       255.5475        23.1643
1.05493       255.8216        23.2258
1.05593       209.8812        21.0908
1.05693       224.8080        21.7407
1.05793       251.3651        23.0867
1.05893       249.5440        23.0010
1.05993       265.2581        23.6974
1.06093       256.9352        23.3317
1.06193       265.7659        23.7265
1.06293       246.9605        22.8461
1.06393       215.8489        21.3487
1.06493       239.3018        22.5252
1.06593       237.9033        22.4432
1.06693       238.2531        22.4775
1.06793       223.2548        21.7185
1.06893       248.3856        22.8897
1.06993       228.7551        21.9343
1.07093       255.1760        23.2968
1.07193       254.8068        23.2862
1.07293       253.6311        23.1482
1.07393       280.8716        24.2822
1.07493       216.0542        21.2383
1.07593       252.3082        23.1743
1.07693       229.5999        22.0364
1.07793       250.1336        23.0478
1.07893       274.3364        24.1226
1.07993       274.7656        24.1181
1.08093       242.0849        22.6431
1.08193       261.6272        23.5487
1.08292       239.0510        22.5117
1.08392       221.7214        21.7074
1.08492       233.8410        22.1694
1.08592       256.2540        23.3495
1.08692       247.8663        22.9252
1.08792       263.1217        23.5954
1.08892       221.0683        21.6045
