XYDATA
! Title:  11BM APS ZnO
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Fullprof format INSTRM=10 (x, y, sigma)
! Run no. =               4715 
! No. steps =             34500 
! Scan time =             MAY 31, 2014 23:52
! Sample name =     	  NIST SRM 674b (ZnO)
! Composition =           Zinc Oxide
! Sample Comment =        0.8 mm dia Kapton
! Temp (K) =              295.0 
! 2theta step (deg) =     0.001 
! Time per step (sec) =   0.1 
! 100/Ring Current[0] =   1.025  
! Monitor I0 [0] =        89933.5  
! Monitor I1 [0] =        73484.6  
! Gonio._radius [mm] =    1000.0 
! Calibration file =      11bmb_4699_2thcorr.calib
! 2Theta correction subtracted 
! Normalization factor  = 8.1812 
! Calibrated wavelength = 0.413671 
!  
! 2theta, intensity, sigma(intensity)
2.358944 91.228605 12.807069
2.359944 91.709341 12.761737
2.360944 90.479442 12.613594
2.361944 93.167163 12.795031
2.362944 98.655183 13.301454
2.363944 107.424122 13.944929
2.364943 107.883073 13.941946
2.365943 105.350328 13.846031
2.366943 127.751174 15.151636
2.367943 99.713934 13.390184
2.368943 109.404689 14.071800
2.369943 103.653251 13.600155
2.370942 104.752254 13.693730
2.371942 102.366779 13.635567
2.372942 108.821845 14.026081
2.373942 118.034941 14.678750
2.374942 139.682010 15.906559
2.375942 105.952178 13.862337
2.376942 111.218346 14.186385
2.377941 116.326376 14.522225
2.378941 109.515706 14.012145
2.379941 116.513243 14.447739
2.380941 99.632254 13.396343
2.381941 102.159677 13.475125
2.382941 101.290921 13.512149
2.383940 100.019029 13.366263
2.384940 82.646865 12.177282
2.385940 109.991098 13.998085
2.386940 96.713260 13.127021
2.387940 114.819217 14.300222
2.388940 112.898564 14.209723
2.389940 100.680180 13.476057
2.390939 105.471770 13.664749
2.391939 105.738179 13.713528
2.392939 110.373582 14.034016
2.393939 115.207120 14.408627
2.394939 102.202468 13.610945
2.395939 105.192576 13.766070
2.396938 89.781366 12.690291
2.397938 92.352340 12.758983
2.398938 106.484509 13.818971
2.399938 118.690119 14.592747
2.400938 83.841627 12.137600
2.401938 86.472300 12.366684
2.402937 99.640791 13.358748
2.403937 86.268655 12.383210
2.404937 88.384875 12.553024
2.405937 80.522485 12.046974
2.406937 83.464432 12.247927
2.407937 103.169792 13.533974
2.408937 81.906375 12.056218
2.409936 73.793130 11.493071
2.410936 100.521233 13.404723
2.411936 90.046492 12.755157
2.412936 94.750069 13.127037
2.413936 112.556257 14.224292
2.414936 85.609908 12.384303
2.415935 81.581075 12.202791
2.416935 94.350371 13.031595
2.417935 110.781970 14.034453
2.418935 104.681271 13.661468
2.419935 102.291219 13.607948
2.420935 118.692085 14.592854
2.421935 116.233240 14.462322
2.422934 116.605021 14.487089
2.423934 98.062437 13.339302
2.424934 104.381753 13.738229
2.425934 95.554970 13.168909
2.426934 102.330079 13.572036
2.427934 117.309786 14.592634
2.428933 113.960744 14.329136
2.429933 107.971349 13.884150
2.430933 111.355639 14.159975
2.431933 109.636984 14.066939
2.432933 103.388144 13.611258
2.433933 93.840008 12.962971
2.434933 97.860331 13.260513
2.435932 96.620148 13.200440
2.436932 92.255582 12.904063
2.437932 106.529669 13.828307
2.438932 90.800419 12.805378
2.439932 81.280106 12.122475
2.440932 94.930557 13.096254
2.441931 76.043875 11.701178
2.442931 108.967031 14.081383
2.443931 111.137069 14.210851
2.444931 104.399972 13.615643
2.445931 97.932971 13.104188
2.446931 101.959672 13.542489
2.447931 114.463653 14.275943
2.448930 116.463543 14.351514
2.449930 95.863929 13.089821
2.450930 101.483067 13.446439
2.451930 92.706471 12.964416
2.452930 88.287939 12.619005
2.453930 89.371086 12.684948
2.454929 88.167234 12.558627
2.455929 97.409772 13.287813
2.456929 100.894410 13.489330
2.457929 103.940086 13.634137
2.458929 105.702170 13.765660
2.459929 85.667654 12.374908
2.460928 86.638699 12.436675
2.461928 88.097745 12.517304
2.462928 86.448387 12.419917
2.463928 108.750047 13.953662
2.464928 110.011677 14.100781
2.465928 90.275444 12.745783
2.466928 131.625071 15.364392
2.467927 102.041573 13.512262
2.468927 80.932724 12.041844
2.469927 97.893689 13.229761
2.470927 103.980120 13.624753
2.471927 100.112597 13.430230
2.472927 100.346936 13.420988
2.473926 105.614932 13.746969
2.474926 104.164716 13.750195
2.475926 116.485050 14.404265
2.476926 98.279113 13.221044
2.477926 90.549477 12.675296
2.478926 101.879951 13.466626
2.479926 98.122131 13.289192
2.480925 79.803843 11.972878
2.481925 96.106779 13.205918
2.482925 95.968315 13.174849
2.483925 95.594871 13.185471
2.484925 88.520423 12.711822
2.485925 93.873879 12.964700
2.486924 100.401235 13.406769
2.487924 94.358764 12.961711
2.488924 112.006240 14.242095
2.489924 115.402021 14.374790
2.490924 101.276993 13.385283
2.491924 88.952602 12.474698
2.492924 92.784300 12.886985
2.493923 83.389877 12.190315
2.494923 96.812703 13.180755
2.495923 90.678827 12.789378
2.496923 91.097145 12.845905
2.497923 92.006838 12.879206
2.498923 97.552203 13.198358
2.499922 91.961065 12.711583
2.500922 104.186912 13.754420
2.501922 113.001145 14.181329
2.502922 101.551743 13.395576
2.503922 115.182284 14.361005
2.504922 102.712009 13.638815
2.505922 98.269641 13.303165
2.506921 100.992049 13.435251
2.507921 78.592732 11.895751
2.508921 95.945798 13.195339
2.509921 99.469826 13.427915
2.510921 75.229732 11.688288
2.511921 88.262805 12.540057
2.512920 94.746210 13.064107
2.513920 90.060362 12.755297
2.514920 114.481277 14.411748
2.515920 103.730699 13.686573
2.516920 83.155440 12.174074
2.517920 100.843539 13.537649
2.518919 89.675998 12.689861
2.519919 89.552904 12.656213
2.520919 98.960892 13.391834
2.521919 108.777640 13.943459
2.522919 119.022456 14.586702
2.523919 89.947882 12.613787
2.524919 101.120267 13.416658
2.525918 77.874764 11.797344
2.526918 83.377412 12.130874
2.527918 113.602658 14.224507
2.528918 95.438641 13.037676
2.529918 83.273733 12.192801
2.530918 96.701172 13.176021
2.531917 85.270305 12.294617
2.532917 102.718551 13.528716
2.533917 77.153763 11.691686
2.534917 110.620542 14.166762
2.535917 103.490137 13.615646
2.536917 83.242168 12.214406
2.537917 92.680457 12.868768
2.538916 88.576231 12.644465
2.539916 87.527609 12.543322
2.540916 88.530878 12.641760
2.541916 76.399620 11.716210
2.542916 85.939451 12.400735
2.543916 73.829880 11.508502
2.544915 94.516632 13.070102
2.545915 94.165383 12.984364
2.546915 103.217159 13.576927
2.547915 98.537459 13.290144
2.548915 103.330650 13.588141
2.549915 73.596665 11.475035
2.550915 97.536773 13.154818
2.551914 99.260181 13.405787
2.552914 85.918616 12.407072
2.553914 90.153110 12.770867
2.554914 93.509926 12.927573
2.555914 90.389719 12.660957
2.556914 87.893933 12.512568
2.557913 110.920836 14.044620
2.558913 108.056430 13.949186
2.559913 91.924105 12.849745
2.560913 84.287594 12.336729
2.561913 90.180114 12.739950
2.562913 98.071791 13.264263
2.563913 86.802799 12.515828
2.564912 95.434324 13.137495
2.565912 90.900911 12.731038
2.566912 85.721653 12.441765
2.567912 108.245412 14.022332
2.568912 101.019298 13.476136
2.569912 118.243750 14.511302
2.570911 114.959192 14.362488
2.571911 96.045973 13.045563
2.572911 82.891938 12.143444
2.573911 84.622886 12.262853
2.574911 90.772602 12.678974
2.575911 88.656416 12.634139
2.576910 94.208552 13.043956
2.577910 80.376482 12.029251
2.578910 89.949711 12.679475
2.579910 98.014370 13.117509
2.580910 83.588301 12.210130
2.581910 77.690516 11.821795
2.582910 109.161943 14.008915
2.583909 94.618184 13.048799
2.584909 79.977208 11.999979
2.585909 99.718401 13.340416
2.586909 86.582369 12.573978
2.587909 98.716249 13.362517
2.588909 96.218096 13.166966
2.589908 89.734859 12.668389
2.590908 78.512964 11.864433
2.591908 73.393918 11.377359
2.592908 105.237887 13.682333
2.593908 88.237328 12.603978
2.594908 86.645697 12.493918
2.595908 85.406653 12.424954
2.596907 82.561359 12.169966
2.597907 95.719428 13.102981
2.598907 118.406165 14.647839
2.599907 108.618711 13.996786
2.600907 88.409887 12.657384
2.601907 63.325852 10.683740
2.602906 81.864883 12.038200
2.603906 83.325629 12.257234
2.604906 100.015608 13.354686
2.605906 91.435469 12.802648
2.606906 88.503300 12.596700
2.607906 119.952560 14.627015
2.608906 106.798464 13.828969
2.609905 90.377570 12.670035
2.610905 89.432717 12.612300
2.611905 89.878001 12.638532
2.612905 72.990058 11.353817
2.613905 74.390566 11.576571
2.614905 87.982657 12.488007
2.615904 101.996690 13.496525
2.616904 94.781043 13.099159
2.617904 89.522491 12.773635
2.618904 113.733547 14.374981
2.619904 100.485641 13.557967
2.620904 99.322420 13.364066
2.621904 85.012629 12.435898
2.622903 83.395624 12.221645
2.623903 88.294636 12.493593
2.624903 82.187625 12.185198
2.625903 108.455220 13.889899
2.626903 104.820759 13.590340
2.627903 84.917334 12.266581
2.628902 114.062656 14.443327
2.629902 100.203703 13.411803
2.630902 98.647920 13.267730
2.631902 112.257314 14.146357
2.632902 105.356293 13.795118
2.633902 92.856923 12.891411
2.634902 62.078908 10.566254
2.635901 84.706940 12.224749
2.636901 86.672353 12.467566
2.637901 96.594805 13.074925
2.638901 78.150016 11.784333
2.639901 85.917043 12.419361
2.640901 92.819807 12.890362
2.641900 87.828438 12.601382
2.642900 73.485983 11.550295
2.643900 76.735217 11.779058
2.644900 88.648457 12.502859
2.645900 80.672413 11.892410
2.646900 96.877744 13.217441
2.647899 106.109749 13.778407
2.648899 99.989156 13.400993
2.649899 99.622342 13.408456
2.650899 74.855904 11.635871
2.651899 85.254955 12.422646
2.652899 91.544445 12.897642
2.653899 82.579631 12.182335
2.654898 80.420668 12.037295
2.655898 98.226935 13.230495
2.656898 96.085762 13.003042
2.657898 73.845941 11.392455
2.658898 97.920539 13.209873
2.659898 99.731453 13.344530
2.660897 103.958095 13.645398
2.661897 80.015712 12.065674
2.662897 86.921160 12.450358
2.663897 102.183924 13.555053
2.664897 99.692426 13.431565
2.665897 100.632922 13.467987
2.666897 85.695213 12.470596
2.667896 115.306523 14.402183
2.668896 92.177960 12.739493
2.669896 86.688606 12.446730
2.670896 105.038686 13.744186
2.671896 84.779929 12.358067
2.672896 78.804132 11.931984
2.673895 87.336987 12.527764
2.674895 101.024142 13.552690
2.675895 100.155950 13.467293
2.676895 87.564256 12.473827
2.677895 112.414535 14.038713
2.678895 111.609781 14.176535
2.679895 85.003643 12.393237
2.680894 94.324907 12.976166
2.681894 90.477628 12.734286
2.682894 101.424859 13.523384
2.683894 104.981863 13.768390
2.684894 92.988716 12.899605
2.685894 110.737549 14.112416
2.686893 96.142075 13.058686
2.687893 74.878472 11.493278
2.688893 77.931571 11.778684
2.689893 87.794342 12.560694
2.690893 93.767785 12.882447
2.691893 88.793150 12.608582
2.692893 82.121646 12.131391
2.693892 91.766797 12.851495
2.694892 91.867293 12.823274
2.695892 86.083112 12.359375
2.696892 88.561782 12.669709
2.697892 83.116270 12.060377
