XYDATA
! Title:  11BM APS CeO2  
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Fullprof format INSTRM=10 (x, y, sigma)
! File no. =               4717
! No. steps =             34500
! Scan time =             JUN 01, 2014 01:51
! Sample name =           NIST SRM 674b (CeO2)
! Composition =           Cerium(IV) oxide 
! Sample Comment =        0.8 mm dia Kapton
! Temp (K) =              295.0
! 2theta step (deg) =     0.001
! Time per step (sec) =   0.1
! 100/Ring Current[0] =   0.982 
! Monitor I0 [0] =        92926.4 
! Monitor I1 [0] =        75877.3 
! Gonio._radius [mm] =    1000.0
! Calibration file =      11bmb_4699_2thcorr.calib
! 2Theta correction subtracted
! Calibrated wavelength = 0.413671
! Normalization factor  = 8.3538
!  
! 2theta, intensity, sigma(intensity)
2.438932 111.442443 13.957006
2.439932 81.018788 11.816823
2.440932 108.182458 13.816666
2.441931 110.370216 13.979681
2.442931 103.391923 13.543250
2.443931 94.139720 12.920556
2.444931 86.874949 12.430012
2.445931 93.320859 12.883121
2.446931 90.743926 12.559978
2.447931 94.810260 12.967443
2.448930 74.796103 11.510710
2.449930 91.830542 12.601056
2.450930 96.122559 12.904973
2.451930 93.936271 12.812287
2.452930 92.719062 12.840255
2.453930 79.918267 11.865763
2.454929 109.649165 13.752704
2.455929 124.677853 14.854007
2.456929 110.782671 13.991365
2.457929 85.096054 12.222277
2.458929 76.962486 11.646029
2.459929 104.533743 13.507716
2.460928 79.850125 11.829981
2.461928 75.309741 11.541016
2.462928 100.932890 13.303183
2.463928 83.822281 12.156025
2.464928 89.920492 12.552103
2.465928 101.863076 13.410817
2.466928 91.312244 12.688347
2.467927 82.928995 12.093516
2.468927 80.254426 11.903540
2.469927 99.258192 13.150401
2.470927 97.909058 13.142112
2.471927 95.547409 12.972453
2.472927 81.221556 11.782458
2.473926 87.178050 12.215124
2.474926 101.085114 13.285461
2.475926 95.937893 12.971974
2.476926 100.075546 13.335541
2.477926 96.470979 13.071173
2.478926 97.697317 13.141887
2.479926 103.181387 13.468816
2.480925 94.649044 12.897908
2.481925 97.561929 13.073764
2.482925 84.668606 12.310402
2.483925 95.700812 12.989561
2.484925 81.685814 11.941695
2.485925 79.488517 11.865109
2.486924 85.513598 12.299159
2.487924 98.400749 13.237912
2.488924 112.659139 14.091602
2.489924 88.684702 12.500883
2.490924 89.559934 12.616983
2.491924 99.315964 13.348981
2.492924 102.206995 13.450731
2.493923 118.460729 14.434209
2.494923 114.330910 14.179171
2.495923 77.806750 11.617090
2.496923 91.753991 12.679501
2.497923 75.062261 11.390231
2.498923 105.138517 13.651891
2.499922 90.775643 12.643272
2.500922 96.542295 13.005540
2.501922 74.529764 11.426725
2.502922 67.006075 10.835060
2.503922 79.458517 11.899344
2.504922 86.208738 12.391195
2.505922 91.848129 12.784985
2.506921 99.967620 13.246624
2.507921 97.242635 13.139029
2.508921 99.630604 13.287462
2.509921 79.468520 11.840172
2.510921 94.527320 12.925505
2.511921 110.575076 13.921050
2.512920 94.298418 12.938693
2.513920 96.964948 13.091344
2.514920 80.821373 11.945806
2.515920 89.425289 12.576880
2.516920 98.080479 13.159993
2.517920 76.475317 11.620697
2.518919 78.153839 11.738792
2.519919 96.687513 13.091165
2.520919 104.001241 13.608170
2.521919 110.938245 14.052854
2.522919 95.613051 12.979019
2.523919 96.751936 13.068808
2.524919 80.050393 11.879353
2.525918 86.689595 12.280585
2.526918 114.089045 14.254183
2.527918 80.569951 11.990733
2.528918 68.772992 10.985160
2.529918 94.216514 12.857222
2.530918 99.764717 13.186761
2.531917 79.949474 11.795456
2.532917 83.284873 12.199967
2.533917 107.708582 13.783620
2.534917 104.806615 13.568733
2.535917 109.356621 13.868636
2.536917 107.498304 13.758940
2.537917 71.238496 11.243874
2.538916 68.995983 11.037479
2.539916 82.672875 12.010697
2.540916 108.501820 13.844692
2.541916 98.616527 13.221530
2.542916 116.387783 14.387329
2.543916 102.662247 13.458807
2.544915 91.186044 12.713166
2.545915 84.896263 12.223539
2.546915 90.793963 12.639634
2.547915 85.163537 12.250144
2.548915 102.247195 13.459961
2.549915 98.028020 13.160315
2.550915 97.869586 13.083751
2.551914 89.599385 12.544325
2.552914 99.946306 13.321602
2.553914 85.014553 12.204029
2.554914 94.365291 12.920682
2.555914 81.951740 12.083233
2.556914 102.693511 13.416341
2.557913 87.378412 12.433634
2.558913 80.975474 11.964329
2.559913 87.158769 12.391891
2.560913 83.271023 12.117152
2.561913 91.675073 12.645895
2.562913 82.008886 12.023724
2.563913 91.522568 12.676673
2.564912 79.921862 11.876236
2.565912 90.736903 12.718461
2.566912 101.857862 13.442454
2.567912 102.721782 13.516719
2.568912 86.447023 12.339977
2.569912 89.313407 12.479157
2.570911 105.122079 13.580755
