XYDATA
! Title: 11BM APS Cr2O3 SRM 674b
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Fullprof format INSTRM=10 (x, y, sigma)
! File no. =               4716
! No. steps =             34500
! Scan time =             JUN 01, 2014 00:52
! Sample name =     	   NIST SRM 674b (Cr2O3)
! Composition =            Chromium(III) oxide
! Sample Comment =         0.8 mm dia Kapton
! Temp (K) =              295.0
! 2theta step (deg) =     0.001
! Time per step (sec) =   0.1
! 100/Ring Current[0] =   0.984 
! Monitor I0 [0] =        92666.8 
! Monitor I1 [0] =        75642.1 
! Gonio._radius [mm] =    1000.0
! Calibration file =      11bmb_4699_2thcorr.calib
! 2Theta correction subtracted
! Normalization factor  = 8.3664
! Calibrated wavelength = 0.413671
!  
! 2theta, intensity, sigma(intensity)
2.319950 115.784101 14.286355
2.320950 115.183635 14.238733
2.321950 110.670781 13.971180
2.322950 99.901288 13.287808
2.323950 121.100059 14.604744
2.324950 133.712440 15.284088
2.325949 116.434942 14.366105
2.326949 111.352199 14.001737
2.327949 116.294288 14.307848
2.328949 122.450066 14.709217
2.329949 124.827627 14.807812
2.330949 109.122233 13.804621
2.331949 99.904383 13.253310
2.332948 121.445687 14.573786
2.333948 135.107837 15.462352
2.334948 118.613695 14.496201
2.335948 114.632310 14.246820
2.336948 108.325338 13.898684
2.337948 128.767672 15.132548
2.338947 105.348841 13.568767
2.339947 119.443218 14.493627
2.340947 132.534244 15.248353
2.341947 105.127327 13.629292
2.342947 117.533532 14.447025
2.343947 122.057611 14.650627
2.344946 111.860228 13.973704
2.345946 98.196017 13.055457
2.346946 126.163903 14.833081
2.347946 119.100522 14.454072
2.348946 108.402025 13.854303
2.349946 113.994008 14.212610
2.350946 128.251111 15.148422
2.351945 133.849724 15.393663
2.352945 121.195097 14.646351
2.353945 119.112965 14.525051
2.354945 115.087051 14.238274
2.355945 106.357282 13.689333
2.356945 113.697291 14.135070
2.357944 121.766178 14.697395
2.358944 112.848611 14.119277
2.359944 100.430015 13.276594
2.360944 106.622836 13.631591
2.361944 129.680815 15.133408
2.362944 96.859596 13.071306
2.363944 112.941149 14.107624
2.364943 107.754316 13.821064
2.365943 124.514142 14.817138
2.366943 120.364497 14.534717
2.367943 99.302734 13.236827
2.368943 113.916887 14.218931
2.369943 107.598060 13.819850
2.370942 91.286823 12.626888
2.371942 127.900520 14.981985
2.372942 116.535133 14.342279
2.373942 112.518383 14.105091
2.374942 99.757113 13.351770
2.375942 115.965356 14.262444
2.376942 139.120148 15.674821
2.377941 121.362230 14.620066
2.378941 129.262221 15.210457
2.379941 129.107210 15.050388
2.380941 103.630254 13.481860
2.381941 104.191805 13.647234
2.382941 141.213953 15.746623
2.383940 103.404004 13.504045
2.384940 114.657364 14.305564
2.385940 107.729603 13.787899
2.386940 97.021592 13.043292
2.387940 136.330075 15.448273
2.388940 107.314781 13.806973
2.389940 102.904965 13.453280
2.390939 101.388898 13.274202
2.391939 106.721866 13.755475
2.392939 125.616983 14.880919
2.393939 126.784454 15.036276
2.394939 109.148239 13.854640
2.395939 124.896293 14.824834
2.396938 107.230154 13.847019
2.397938 125.507174 14.910126
2.398938 98.204211 13.210682
2.399938 103.668798 13.522144
2.400938 123.859281 14.716213
2.401938 117.277973 14.472017
2.402937 100.084745 13.363517
2.403937 107.431741 13.788282
2.404937 128.444173 15.138267
2.405937 139.290864 15.671286
2.406937 118.262690 14.441741
2.407937 133.444092 15.347758
2.408937 120.306864 14.535022
2.409936 108.200400 13.888018
2.410936 97.143426 12.975134
2.411936 94.577347 12.819719
2.412936 128.015602 15.095052
2.413936 98.443258 13.214393
2.414936 136.898660 15.511996
2.415935 127.703401 15.022585
2.416935 112.051696 14.061690
2.417935 116.145445 14.344535
2.418935 121.685033 14.684429
2.419935 107.776798 13.767532
2.420935 123.711469 14.687846
2.421935 110.273150 13.940926
2.422934 112.904828 14.140514
2.423934 103.573484 13.586746
2.424934 109.502456 14.027392
2.425934 113.230100 14.207008
2.426934 87.627172 12.401808
2.427934 102.357849 13.444866
2.428933 111.548921 14.068763
2.429933 103.523086 13.602075
2.430933 126.272495 14.839763
2.431933 102.962452 13.392634
2.432933 109.302980 13.875079
2.433933 111.459497 13.978244
2.434933 109.282812 13.825981
2.435932 100.457442 13.280654
2.436932 104.243039 13.516968
2.437932 131.104982 15.192192
2.438932 114.933260 14.267094
2.439932 100.744096 13.356131
2.440932 98.311540 13.174384
2.441931 105.997084 13.632204
