XYDATA
! Title: NAC /nov12/11bmb_1804
! Run no. =               1804 
! No. steps =             54000 
! Scan time =             NOV 29, 2012 18:07:11.025644 
! Sample Comment =        NAC 
! User sample name =      1.5 mm diameter 
! Composition =           Na2Ca3Al2F14
! Temp (K) =              298.0 
! Start 2theta (deg) =    -16.0 
! End 2theta (deg) =      38.0 
! 2theta step (deg) =     0.001 
! Time per step (sec) =   0.1 
! Intensity scale =       9383.82768362 
! Calibration file =      11bmb_1800_2thcorrected.calib 
! 2Theta correction subtracted 
! Calibrated wavelength = 0.413909
! Fullprof format INSTRM=10 (x, y, sigma)
INTER 1.0 1.0  2 0.00100
! ---------------------------------------
! degrees       intensity        sigma
1.01493       316.9478        18.5606
1.01593       315.4268        18.4919
1.01693       302.4285        18.0815
1.01793       312.6880        18.4284
1.01893       307.1105        18.2664
1.01993       290.9743        17.7361
1.02093       297.9921        17.9943
1.02193       320.2933        18.6896
1.02293       297.5723        17.9591
1.02393       318.8191        18.6382
1.02493       326.2345        18.8484
1.02593       285.7543        17.6214
1.02693       335.5218        19.2290
1.02793       312.8535        18.3801
1.02893       307.5827        18.2278
1.02993       330.4520        18.8613
1.03093       304.5849        18.2098
1.03193       305.6996        18.2326
1.03293       327.2368        18.7906
1.03393       327.8174        18.8236
1.03493       310.8075        18.2847
1.03593       281.5182        17.4690
1.03693       287.1430        17.7047
1.03793       303.2105        18.1610
1.03893       307.5527        18.2499
1.03993       305.4598        18.2115
1.04093       290.1307        17.7722
1.04193       318.3704        18.6947
1.04293       322.4991        18.7071
1.04393       311.8172        18.4661
1.04493       317.3969        18.6406
1.04593       294.4428        17.8145
1.04693       290.9721        17.8173
1.04793       306.9075        18.1999
1.04893       308.3034        18.2725
1.04993       308.3619        18.2317
1.05093       304.2502        18.1517
1.05193       302.3418        18.1487
1.05293       311.3341        18.3866
1.05393       310.3820        18.3743
1.05493       313.9154        18.5073
1.05593       306.1560        18.2982
1.05693       302.3437        18.0966
1.05793       321.5546        18.7170
1.05893       284.9245        17.6209
1.05993       303.4135        18.0916
1.06093       302.4560        18.1456
1.06193       288.2894        17.6718
1.06293       297.4186        17.9915
1.06393       286.6205        17.6251
1.06493       301.6483        18.0414
1.06593       303.5303        18.1467
1.06693       317.9275        18.6074
1.06793       294.5100        17.9053
1.06893       292.4957        17.8341
1.06993       295.6292        17.9577
1.07093       295.5196        17.9972
1.07193       258.4802        16.7911
1.07293       299.5342        18.0518
1.07393       285.2927        17.6401
1.07493       301.4782        18.0748
1.07593       312.8317        18.4817
1.07693       314.4469        18.5553
1.07793       305.9129        18.2887
1.07893       296.9291        18.0404
1.07993       285.8631        17.5527
1.08092       288.5586        17.6815
1.08192       275.5118        17.3759
1.08292       305.9472        18.3105
1.08392       293.8680        17.9529
1.08492       310.3291        18.2728
1.08592       303.0572        18.1105
1.08692       301.2881        18.1133
1.08792       310.8712        18.4191
1.08892       305.7057        18.2258
1.08992       308.0967        18.2734
1.09092       307.9279        18.3343
1.09192       281.7118        17.4866
1.09292       296.2307        17.9439
1.09392       292.9950        17.8261
1.09492       290.2937        17.7553
1.09592       266.1846        17.0184
1.09692       294.2462        17.8451
1.09792       275.3838        17.3081
1.09892       295.4473        17.9202
1.09992       266.7019        17.0129
1.10092       293.1143        17.8878
1.10192       275.8805        17.3059
1.10292       269.3809        17.0970
1.10392       275.8153        17.3098
1.10492       281.2407        17.4411
1.10592       292.0911        17.8025
1.10692       273.1575        17.2174
1.10792       291.4557        17.8426
1.10892       309.8515        18.3884
1.10992       301.5051        18.0973
1.11092       255.9969        16.6297
1.11192       317.8512        18.6151
1.11292       291.1655        17.7594
1.11392       309.7460        18.2983
1.11492       323.7666        18.7194
1.11592       283.7145        17.5720
1.11692       268.5362        17.0965
1.11792       302.4830        18.1771
1.11892       315.1268        18.6223
1.11992       290.7327        17.7331
1.12092       280.5050        17.4422
1.12192       265.5740        16.9884
1.12292       266.3137        17.0567
1.12392       290.3225        17.7659
1.12492       271.1741        17.0829
1.12592       264.4874        16.9133
1.12692       274.0973        17.2965
1.12792       277.7673        17.3647
1.12892       297.3009        18.0361
1.12992       274.5189        17.1784
1.13092       278.2331        17.3378
1.13192       269.3209        17.0728
1.13292       264.6720        16.9113
1.13392       278.0449        17.3846
1.13492       287.9214        17.6980
1.13592       288.4630        17.7065
1.13692       280.7543        17.3933
1.13792       287.4976        17.6853
1.13892       278.2567        17.3622
1.13992       267.6237        17.0047
1.14092       274.1931        17.2195
1.14192       259.8043        16.7471
1.14292       252.6116        16.5648
1.14392       264.8790        16.9333
1.14492       294.0021        17.8426
1.14592       291.8545        17.8083
1.14692       285.1653        17.6603
1.14792       302.3589        18.0927
1.14892       288.8343        17.6632
1.14992       287.8293        17.6179
1.15092       265.2388        16.9928
1.15192       284.3103        17.5680
1.15292       268.3257        17.0404
1.15392       252.3428        16.5148
1.15492       254.9909        16.5827
1.15592       269.4545        17.0343
1.15692       263.0364        16.8877
1.15791       253.8799        16.6306
1.15891       275.3323        17.3204
1.15991       281.8528        17.4712
1.16091       262.1859        16.8140
1.16191       253.7591        16.5824
1.16291       292.2535        17.7829
1.16391       276.9010        17.3101
1.16491       264.4771        16.8693
1.16591       267.6654        17.0500
1.16691       275.5993        17.3344
1.16791       273.6379        17.2295
1.16891       304.6662        18.1735
1.16991       291.0012        17.7247
1.17091       295.1097        17.9180
1.17191       271.4166        17.1871
1.17291       268.7040        17.1155
1.17391       258.1412        16.7860
1.17491       279.7969        17.4573
1.17591       275.6820        17.3610
1.17691       264.2611        16.9842
1.17791       274.3801        17.3529
1.17891       272.4832        17.2184
1.17991       255.4473        16.5960
1.18091       256.9700        16.6959
1.18191       270.4027        17.1192
1.18291       263.4847        16.8291
1.18391       250.7136        16.4867
1.18491       272.6695        17.2077
1.18591       284.6650        17.6825
1.18691       263.7063        16.9685
1.18791       280.2688        17.4019
1.18891       275.0407        17.2964
1.18991       253.3631        16.5645
1.19091       260.1504        16.7932
1.19191       272.9889        17.2888
1.19291       273.8211        17.2302
1.19391       267.4900        17.0569
1.19491       266.3598        17.0390
1.19591       258.3116        16.7742
1.19691       271.2383        17.2328
1.19791       276.8310        17.3684
1.19891       277.7767        17.3369
1.19991       272.8522        17.1600
1.20091       262.8673        16.8584
1.20191       269.3555        17.2028
1.20291       265.0008        17.0351
1.20391       265.0306        17.0309
1.20491       246.9012        16.4287
1.20591       276.5909        17.2593
1.20691       268.6310        16.9840
1.20791       282.8343        17.5215
1.20891       268.6481        17.1356
1.20991       275.8466        17.3528
1.21091       280.6647        17.4477
1.21191       297.1418        17.9812
1.21291       285.3900        17.6201
1.21391       272.4370        17.2141
1.21491       247.7780        16.3204
1.21591       264.8007        16.8984
1.21691       269.7251        17.0192
1.21791       253.4093        16.5566
1.21891       257.3852        16.7479
1.21991       261.1913        16.8094
1.22091       280.9370        17.5210
1.22191       273.1915        17.3157
1.22291       282.7534        17.5540
1.22391       281.9448        17.4854
1.22491       272.6123        17.1386
1.22591       230.8981        15.7365
1.22691       257.2830        16.6665
1.22791       254.9021        16.5898
1.22891       242.2137        16.2193
1.22991       266.4346        17.0641
1.23091       261.9819        16.8597
1.23191       257.7571        16.7383
1.23291       294.3477        17.9396
1.23391       286.5950        17.7084
1.23490       271.3496        17.2236
1.23590       247.0529        16.3941
1.23690       265.9967        16.9863
1.23790       265.6556        16.9940
1.23890       278.7842        17.3389
1.23990       284.9412        17.5222
1.24090       251.8583        16.4663
1.24190       285.5546        17.6192
1.24290       281.2704        17.5412
1.24390       258.4461        16.7841
1.24490       254.8431        16.6391
1.24590       263.7110        17.0000
1.24690       257.0793        16.7309
