XYDATA
! Title: 11-BM data for Al2O3 SRM 676a
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Fullprof format INSTRM=10 (x, y, sigma)
! File no. =               4714 
! No. steps =             34500 
! Scan time =             MAY 31, 2014 22:53 
! Sample name =     	  NIST SRM 676a (Al2O3) 
! Composition =           Aluminium Oxide (Al2O3)
! Sample Comment =        0.8 mm dia Kapton
! Temp (K) =              295.6 
! 2theta step (deg) =     0.001 
! Time per step (sec) =   0.1 
! 100/Ring Current[0] =   0.983  
! Monitor I0 [0] =        92715.5  
! Monitor I1 [0] =        75723.2  
! Gonio._radius [mm] =    1000.0 
! Calibration file =      11bmb_4699_2thcorr.calib 
! 2Theta correction subtracted 
! Normalization factor  = 8.3433 
! Calibrated wavelength = 0.413671 
!  
! 2theta, intensity, sigma(intensity)
2.382941 134.304913 15.353006
2.383940 116.894704 14.347544
2.384940 115.487538 14.276445
2.385940 113.948640 14.190226
2.386940 120.511087 14.543019
2.387940 129.022786 15.140665
2.388940 131.213921 15.242566
2.389940 139.001254 15.664249
2.390939 144.667954 15.951878
2.391939 137.253236 15.543634
2.392939 89.411283 12.470862
2.393939 126.679465 14.964268
2.394939 136.913479 15.496415
2.395939 117.666369 14.312478
2.396938 114.518236 14.229492
2.397938 122.980757 14.739034
2.398938 128.946236 15.109569
2.399938 135.899593 15.444996
2.400938 110.337258 13.981990
2.401938 115.048946 14.240253
2.402937 137.842223 15.680780
2.403937 129.563137 15.186359
2.404937 117.483931 14.336491
2.405937 110.550798 13.844127
2.406937 119.880332 14.581375
2.407937 106.776759 13.747508
2.408937 134.728677 15.338598
2.409936 125.644381 14.857896
2.410936 121.442835 14.578630
2.411936 110.931042 13.987572
2.412936 102.199676 13.387456
2.413936 122.966207 14.638381
2.414936 134.864957 15.466510
2.415935 117.103842 14.335532
2.416935 131.756305 15.140435
2.417935 123.095171 14.711724
2.418935 112.391760 14.035721
2.419935 131.193664 15.149674
2.420935 144.668574 15.855798
2.421935 135.929803 15.413843
2.422934 130.082772 15.082433
2.423934 139.929515 15.669714
2.424934 129.904972 15.103130
2.425934 136.722573 15.588133
2.426934 144.461033 15.905666
2.427934 117.872589 14.352053
2.428933 106.852038 13.623308
2.429933 108.021063 13.668843
2.430933 141.874425 15.766886
2.431933 132.920578 15.353659
2.432933 129.184565 15.123591
2.433933 135.823654 15.545740
2.434933 133.664163 15.288616
2.435932 133.722417 15.241032
2.436932 137.084274 15.616925
2.437932 120.787032 14.640687
2.438932 126.926133 15.012467
2.439932 143.232530 15.915533
2.440932 124.294479 14.755721
2.441931 113.560291 14.099103
2.442931 104.132779 13.546356
2.443931 116.022125 14.330362
2.444931 118.389472 14.396526
2.445931 121.600687 14.546129
2.446931 117.346148 14.295918
2.447931 111.972825 13.961439
2.448930 115.143248 14.188288
2.449930 109.255743 13.879910
2.450930 111.185825 13.890475
2.451930 125.216622 14.783487
2.452930 88.647323 12.468097
2.453930 96.817105 12.974650
2.454929 116.469765 14.320960
2.455929 127.457399 14.962926
2.456929 118.867487 14.465998
2.457929 120.639397 14.568775
2.458929 116.325341 14.237326
2.459929 127.823024 14.885429
2.460928 107.482484 13.688095
2.461928 117.775325 14.400283
2.462928 113.564549 14.153361
2.463928 134.677948 15.344614
2.464928 135.833223 15.489975
2.465928 127.964456 15.029262
2.466928 135.276569 15.403389
2.467927 95.095797 12.948343
2.468927 100.546692 13.322499
2.469927 138.079108 15.568966
2.470927 121.314080 14.497800
2.471927 116.545805 14.341145
2.472927 117.418917 14.358279
2.473926 131.978050 15.290477
2.474926 115.513454 14.270606
2.475926 144.062052 15.896816
2.476926 139.934079 15.665157
2.477926 117.335527 14.342061
2.478926 108.789676 13.819869
2.479926 100.658081 13.327889
2.480925 114.118361 14.161804
2.481925 123.714327 14.725150
2.482925 118.155725 14.330105
2.483925 118.191532 14.347047
2.484925 119.326630 14.418838
2.485925 122.941665 14.597795
2.486924 101.537372 13.192387
2.487924 111.573568 13.991069
2.488924 109.376877 13.838040
2.489924 128.990163 15.162118
2.490924 105.958000 13.724737
2.491924 108.530615 13.854020
2.492924 133.001568 15.320237
2.493923 129.430586 15.024278
2.494923 130.689558 15.091336
2.495923 137.386081 15.523972
2.496923 135.060969 15.502568
2.497923 122.840145 14.668425
2.498923 130.934075 15.157960
2.499922 132.807843 15.331016
2.500922 150.296924 16.210946
2.501922 117.780198 14.277375
2.502922 124.805960 14.719139
2.503922 113.278476 14.025971
2.504922 127.843143 15.003795
2.505922 116.973471 14.374379
2.506921 110.645640 13.955087
2.507921 103.600698 13.348014
2.508921 123.861832 14.723083
2.509921 113.944378 14.238656
2.510921 126.622319 14.872768
2.511921 116.752780 14.296129
2.512920 100.272944 13.132994
2.513920 132.636849 15.366964
2.514920 115.737141 14.325819
2.515920 126.534155 14.946075
2.516920 120.800127 14.623556
2.517920 119.461787 14.467523
2.518919 111.539511 14.028550
2.519919 109.469824 13.926751
2.520919 107.202983 13.740381
2.521919 117.659288 14.435142
2.522919 120.048591 14.524829
2.523919 112.751019 14.115742
2.524919 96.585496 12.966177
